大众点评-南京博物院,环境和景观,0.8795180722891566
大众点评-南京博物院,文化和历史价值,0.9368832236842105
大众点评-南京博物院,设施和服务,0.8084163898117387
大众点评-南京博物院,性价比,0.8634111818825194
大众点评-夫子庙秦淮风光带,环境和景观,0.9600674915635545
大众点评-夫子庙秦淮风光带,文化和历史价值,0.9315436241610738
大众点评-夫子庙秦淮风光带,设施和服务,0.8628158844765343
大众点评-夫子庙秦淮风光带,性价比,0.8537360890302067
大众点评-明孝陵,环境和景观,0.9311594202898551
大众点评-明孝陵,文化和历史价值,0.9216417910447762
大众点评-明孝陵,设施和服务,0.7012987012987013
大众点评-明孝陵,性价比,0.844007609384908
大众点评-牛首山文化旅游区,环境和景观,0.9071969696969697
大众点评-牛首山文化旅游区,文化和历史价值,0.930635838150289
大众点评-牛首山文化旅游区,设施和服务,0.6897435897435897
大众点评-牛首山文化旅游区,性价比,0.8197142857142857
大众点评-钟山风景名胜区,环境和景观,0.9424083769633508
大众点评-钟山风景名胜区,文化和历史价值,0.9471861471861471
大众点评-钟山风景名胜区,设施和服务,0.7019704433497537
大众点评-钟山风景名胜区,性价比,0.8731125182659523
携程-南京博物院,环境和景观,0.8297872340425532
携程-南京博物院,文化和历史价值,0.9562657695542472
携程-南京博物院,设施和服务,0.754863813229572
携程-南京博物院,性价比,0.8800328677074774
携程-夫子庙秦淮风光带,环境和景观,0.9854604200323102
携程-夫子庙秦淮风光带,文化和历史价值,0.9337016574585635
携程-夫子庙秦淮风光带,设施和服务,0.9347826086956522
携程-夫子庙秦淮风光带,性价比,0.956989247311828
携程-明孝陵,环境和景观,0.967391304347826
携程-明孝陵,文化和历史价值,0.9537953795379538
携程-明孝陵,设施和服务,0.7424242424242424
携程-明孝陵,性价比,0.8370656370656371
携程-牛首山文化旅游区,环境和景观,0.9291044776119403
携程-牛首山文化旅游区,文化和历史价值,0.8974358974358975
携程-牛首山文化旅游区,设施和服务,0.7538461538461538
携程-牛首山文化旅游区,性价比,0.7753623188405797
携程-钟山风景名胜区,环境和景观,0.9594594594594594
携程-钟山风景名胜区,文化和历史价值,0.9528795811518325
携程-钟山风景名胜区,设施和服务,0.5652173913043478
携程-钟山风景名胜区,性价比,0.878968253968254
